"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 24 17:17:48 GMT 2024","Tue Sep 24 17:17:49 GMT 2024","1070","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Tue Sep 24 17:17:45 GMT 2024","Tue Sep 24 17:17:46 GMT 2024","1310","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
